"nom_sci","xcoord","ycoord","annee","code_spe","groupe"
"Capreolus capreolus","297908.644761","6771259.18884","2018","9","4"
"Capreolus capreolus","293735.602541","6761145.28766","2018","9","4"
"Sus scrofa","295517.952027","6773028.98583","2018","10","3"
"Capreolus capreolus","319461.048771","6772826.17818","2018","9","4"
"Capreolus capreolus","252391.3553","6745828.5992","2018","9","4"
"Capreolus capreolus","286509.665201","6732213.7403","2018","9","4"
"Meles meles","251023.664355","6745594.06847","2018","7","3"
"Cervus elaphus","243008.5347","6756254.2002","2018","8","4"
"Capreolus capreolus","274180.619847","6741782.72389","2018","9","4"
"Meles meles","271788.353038","6745794.5077","2018","7","3"
"Capreolus capreolus","284933.620734","6734130.91371","2018","9","4"
"Capreolus capreolus","274010.419451","6773288.23325","2018","9","4"
"Capreolus capreolus","258129.237378","6771482.56924","2018","9","4"
"Capreolus capreolus","251442.94115","6772011.21698","2018","9","4"
"Meles meles","275522.864499","6773417.76432","2018","7","3"
"Capreolus capreolus","246750.65823","6769411.31682","2018","9","4"
"Meles meles","286941.847994","6776845.90386","2018","7","3"
"Capreolus capreolus","296361.058782","6729063.58262","2018","9","4"
"Capreolus capreolus","238541.844","6766264.627","2018","9","4"
"Meles meles","295251.137439","6765124.58342","2018","7","3"
"Capreolus capreolus","319948.189","6777213.22","2018","9","4"
"Capreolus capreolus","300980.489","6771451.092","2018","9","4"
"Capreolus capreolus","295376.731893","6766996.85317","2018","9","4"
"Capreolus capreolus","279697.770685","6737517.96039","2018","9","4"
"Capreolus capreolus","281455.241698","6750947.38381","2018","9","4"
"Capreolus capreolus","302714.316621","6727202.15856","2018","9","4"
"Capreolus capreolus","290431.756424","6755609.26172","2018","9","4"
"Meles meles","302808.618546","6726918.3033","2018","7","3"
"Capreolus capreolus","266875.831429","6771608.0903","2018","9","4"
"Capreolus capreolus","284649.624661","6776467.86567","2018","9","4"
"Capreolus capreolus","266975.207797","6771620.42883","2018","9","4"
"Capreolus capreolus","247404.857185","6769659.52278","2018","9","4"
"Meles meles","275125.206837","6773394.71481","2018","7","3"
"Capreolus capreolus","234047.254543","6761312.4903","2018","9","4"
"Meles meles","295245.572119","6765918.27567","2018","7","3"
"Capreolus capreolus","317308.028287","6771392.7026","2018","9","4"
"Capreolus capreolus","292158.516332","6773977.58612","2018","9","4"
"Sus scrofa","291683.122345","6756681.63474","2018","10","3"
"Capreolus capreolus","281096.392393","6775009.57034","2018","9","4"
"Capreolus capreolus","281184.546674","6775057.29878","2018","9","4"
"Meles meles","294300.487545","6762522.65031","2018","7","3"
"Meles meles","287745.634","6731070.901","2018","7","3"
"Capreolus capreolus","299674.946","6727835.995","2018","9","4"
"Meles meles","273405.734996","6773230.11347","2018","7","3"
"Meles meles","270831.629329","6772506.8636","2018","7","3"
"Meles meles","279354.362453","6773907.46474","2018","7","3"
"Meles meles","266973.41413","6771630.62732","2018","7","3"
"Capreolus capreolus","232453.232729","6761642.67554","2018","9","4"
"Sus scrofa","240217.058729","6758250.16339","2018","10","3"
"Sus scrofa","226822.948178","6762080.46131","2018","10","3"
"Meles meles","242236.303901","6757114.96911","2018","7","3"
"Sus scrofa","217033.533942","6764954.67062","2018","10","3"
"Sus scrofa","217033.533942","6764954.67062","2018","10","3"
"Sus scrofa","217033.533942","6764954.67062","2018","10","3"
"Sus scrofa","217033.533942","6764954.67062","2018","10","3"
"Sus scrofa","217033.533942","6764954.67062","2018","10","3"
"Sus scrofa","217033.533942","6764954.67062","2018","10","3"
"Cervus elaphus","238823.938","6758808.3248","2018","8","4"
"Meles meles","318190.454383","6771858.25617","2018","7","3"
"Meles meles","294866.676079","6763795.88165","2018","7","3"
"Meles meles","292224.062208","6729656.1145","2018","7","3"
"Meles meles","293372.843586","6729076.84123","2018","7","3"
"Capreolus capreolus","222124.452","6760645.971","2018","9","4"
"Sus scrofa","303133.416944","6725973.62192","2018","10","3"
"Sus scrofa","271493.940549","6745832.36207","2018","10","3"
"Sus scrofa","302819.422019","6726923.64445","2018","10","3"
"Sus scrofa","302370.864968","6727798.73897","2018","10","3"
"Sus scrofa","301409.925653","6727950.36622","2018","10","3"
"Meles meles","295280.621648","6765422.08486","2018","7","3"
"Meles meles","317934.32","6771702.801","2018","7","3"
"Meles meles","291852.369708","6757095.52222","2018","7","3"
"Meles meles","298902.883991","6771213.84125","2018","7","3"
"Meles meles","282946.782","6753137.949","2018","7","3"
"Sus scrofa","275335.257423","6741188.51713","2018","10","3"
"Meles meles","273920.221371","6741929.58985","2018","7","3"
"Sus scrofa","291112.542582","6730325.87544","2018","10","3"
