"nom_vern","nom_sci","id_obs","date","annee","xcoord","ycoord","source"
"Sanglier","Sus scrofa","40bab7ea43c6cb8e4a4f6f9ca5373ef60a8e7843","2014/11/21 00:00:00.000",2014,422845.652431105,6707989.24738454,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","6be7bff12414ad918b95409b970f2b883db2cc44","2015/10/13 00:00:00.000",2015,424137.710664863,6683463.07276483,"LPO anjoux"
"Sanglier","Sus scrofa","6be7bff12414ad918b95409b970f2b883db2cc44","2015/10/13 00:00:00.000",2015,424137.710664863,6683463.07276483,"LPO anjoux"
"Sanglier","Sus scrofa","6be7bff12414ad918b95409b970f2b883db2cc44","2018/07/02 00:00:00.000",2018,411255.882732105,6669662.92601398,"LPO anjoux"
"Sanglier","Sus scrofa","830ea3f4c310909c26c1c225a10c9a4d95f62b11","2016/11/11 00:00:00.000",2016,439295.419046727,6704082.86358628,"LPO anjoux"
"Sanglier","Sus scrofa","830ea3f4c310909c26c1c225a10c9a4d95f62b11","2016/11/11 00:00:00.000",2016,439427.569668398,6704303.32435124,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","cde09c9e104b485524561844ecf8deb2d7a2ba91","2014/04/04 00:00:00.000",2014,445867.114594604,6729891.23142822,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/06/19 00:00:00.000",2015,478047.958339447,6698553.43561691,"LPO anjoux"
"Sanglier","Sus scrofa","cde09c9e104b485524561844ecf8deb2d7a2ba91","2014/04/04 00:00:00.000",2014,445867.114594604,6729891.23142822,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2017/09/02 00:00:00.000",2017,398611.902699845,6685411.51447992,"LPO anjoux"
"Blaireau européen","Meles meles","39f5a14b14544d4b438f5022487efe7cfdc31309","2014/01/19 00:00:00.000",2014,386462.307582744,6740905.35707298,"LPO anjoux"
"Sanglier","Sus scrofa","8aa132d4059539fa386d045a75a10ef1b481bbe4","2019/01/14 00:00:00.000",2019,324901.535527802,6698317.268199,"LPO anjoux"
"Blaireau européen","Meles meles","830ea3f4c310909c26c1c225a10c9a4d95f62b11","2018/03/11 00:00:00.000",2018,395803.605777604,6698712.3858484,"LPO anjoux"
"Blaireau européen","Meles meles","446691511272946faa2ce0830847e1e70e86c3e0","2021/03/26 00:00:00.000",2021,410447.393505354,6724855.44083727,"LPO anjoux"
"Sanglier","Sus scrofa","1c13bb5dc4505ba95fd0ab31189ea4912cfcb4bf","2017/04/26 00:00:00.000",2017,422953.192931509,6703717.42842322,"LPO anjoux"
"Sanglier","Sus scrofa","2cc58621b137bc9028eb1d8173ad1c47e6f7da98","2014/04/26 00:00:00.000",2014,373542.811219132,6702345.57024253,"LPO anjoux"
"Blaireau européen","Meles meles","f878e26725bfa5ed943e38cf4efd46c97734a4f4","2020/09/16 00:00:00.000",2020,463809.989706379,6689097.4167963,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","f878e26725bfa5ed943e38cf4efd46c97734a4f4","2021/01/13 00:00:00.000",2021,466434.255391338,6680478.96078379,"LPO anjoux"
"Blaireau européen","Meles meles","6be7bff12414ad918b95409b970f2b883db2cc44","2018/03/11 00:00:00.000",2018,395803.605777604,6698712.3858484,"LPO anjoux"
"Blaireau européen","Meles meles","98d11dbd2f7757aa72cd444806ea419a0a060e14","2016/04/13 00:00:00.000",2016,464390.349659875,6676302.47961666,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","7bf1d39cfeea79904b5f002f9b3e81efffa5e91b","2019/07/31 00:00:00.000",2019,435197.250376143,6808537.02027221,"LPO anjoux"
"Sanglier","Sus scrofa","e79dd5402c1ffde0be91f164f06a9a2a53012493","2016/11/05 00:00:00.000",2016,443016.874102507,6735482.65075793,"LPO anjoux"
"Sanglier","Sus scrofa","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2017/04/02 00:00:00.000",2017,434916.974075485,6679735.9655122,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","8def6b459fd1ee11cf8694b5550e28c6bd6f7d73","2021/02/23 00:00:00.000",2021,387276.007563222,6739721.10060484,"LPO anjoux"
"Blaireau européen","Meles meles","8def6b459fd1ee11cf8694b5550e28c6bd6f7d73","2021/02/23 00:00:00.000",2021,387390.150144293,6739745.66353047,"LPO anjoux"
"Sanglier","Sus scrofa","6be7bff12414ad918b95409b970f2b883db2cc44","2020/01/10 00:00:00.000",2020,411475.320581031,6670116.83022153,"LPO anjoux"
"Blaireau européen","Meles meles","6be7bff12414ad918b95409b970f2b883db2cc44","2020/01/10 00:00:00.000",2020,411411.928097606,6670056.39066916,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","7bf1d39cfeea79904b5f002f9b3e81efffa5e91b","2021/12/06 00:00:00.000",2021,427682.028164587,6753511.39145887,"LPO anjoux"
"Blaireau européen","Meles meles","6be7bff12414ad918b95409b970f2b883db2cc44","2020/01/10 00:00:00.000",2020,411408.198634774,6669944.3689032,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","7bf1d39cfeea79904b5f002f9b3e81efffa5e91b","2020/08/15 00:00:00.000",2020,387420.477229812,6705077.12982546,"LPO anjoux"
"Cerf élaphe","Cervus elaphus","6be7bff12414ad918b95409b970f2b883db2cc44","2020/01/10 00:00:00.000",2020,411227.414895697,6669677.64338086,"LPO anjoux"
"Sanglier","Sus scrofa","28e7a576079e0f9b4ef0f1957778ee444f67b14d","2017/08/23 00:00:00.000",2017,362221.322386669,6706054.68901354,"LPO anjoux"
"Sanglier","Sus scrofa","6be7bff12414ad918b95409b970f2b883db2cc44","2020/01/10 00:00:00.000",2020,411406.385960223,6669604.18219655,"LPO anjoux"
"Sanglier","Sus scrofa","7bf1d39cfeea79904b5f002f9b3e81efffa5e91b","2020/08/15 00:00:00.000",2020,387420.477229812,6705077.12982546,"LPO anjoux"
